건축물_유형,근저당권_개수,채권최고액,근저당권_설정일_최근,신탁_등기여부,압류_가압류_개수,선순위_채권_존재여부,전입_가능여부,우선변제권_여부,주소,전세가,매매가,전세가율,과거_매매가,과거_전세가,과거_전세가율,위험도
아파트,0,0,,False,7,True,False,False,서울특별시 성북구 돈암동 538-106 예움하우스 제1층 제102호,,,,355000000.0,355000000.0,100.00%,1
빌라,0,0,,False,18,True,False,False,서울특별시 성북구 돈암동 552-5외 2필지 제2층 제204호,,,,210000000.0,210000000.0,100.00%,1
아파트,0,0,,False,5,True,False,False,서울특별시 동작구 상도동 244-29 다인캐슬2차 제3층 제301호,,,,280000000.0,275000000.0,98.21%,1
아파트,0,0,,False,6,True,False,False,서울특별시 광진구 중곡동 235-12,,,,,,,1
아파트,1,165000000,2021-10-20,False,11,True,False,False,서울특별시 양천구 신월동 128 신월프라자 제7층 제707호,,,,,,,1
아파트,1,48000000,2015-07-13,False,21,True,False,False,서울특별시 양천구 신월동 45-2 근상아트프리즘 제2층 제207호,,,,,,,1
아파트,2,106000000,2017-11-17,False,37,True,False,False,서울특별시 양천구 목동 725-34 일광파크빌 제5층 제502호,,,,,,,1
아파트,0,0,,False,23,True,False,False,서울특별시 양천구 신정동 942-7 제2층 제202호,,,,,170000000.0,,1
아파트,3,834400000,2024-03-14,False,18,True,False,False,서울특별시 노원구 상계동 737 상계주공아파트 제322동 제12층 제1202호,,,,465000000.0,,,1
아파트,1,100000000,2023-06-23,False,1,True,False,False,서울특별시 노원구 상계동 439-15 비동,,,,,,,1
아파트,1,2880000000,2018-06-20,False,40,True,False,False,서울특별시 노원구 상계동 734-4외 1필지 제2층 제201호,,,,2000000000.0,,,1
아파트,2,900000000,2022-06-16,False,43,True,False,False,,,,,700000000.0,,,1
아파트,3,645000000,2023-04-11,False,13,True,False,False,서울특별시 성북구 정릉동 1014외 1필지 정릉스카이쌍용아파트 제102동 제14층 제1403호,,,,340000000.0,,,1
아파트,2,694800000,2021-05-12,False,4,True,False,False,서울특별시 성북구 정릉동 210외 4필지 푸른마을동아아파트 제104동 제12층 제1203호,,,,330000000.0,,,1
